pop_2013,pop_2013_sqmi,median_age,num_households,avg_household_size,obesity_prevalence,diabetes,num_pharmacies
829507,446.7,36.2,266920,3.04,130080,58437,166
1824941,1405.5,36.2,604204,2.9,281426,111010,267
490657,308.6,39.8,185825,2.55,87649,28082,78
255910,486.9,44.5,103210,2.36,33772,10722,43
221062,131.8,37.1,87618,2.45,47186,16989,39
360547,240.0,40.3,132627,2.6,59439,19102,72
9644,2.3,46.0,4064,2.3,2002,1315,2
154171,71.6,33.1,43317,3.28,38720,13287,21
178870,39.9,32.0,49126,3.34,42777,11427,27
63681,21.5,39.5,23767,2.63,13048,4632,12
55092,24.2,47.1,22156,2.3,14529,4269,11
19965,7.6,49.5,8977,2.2,4092,1679,5
453483,93.7,29.6,130352,3.36,112704,28369,72
14389,4.6,37.2,5768,2.42,2839,626,2
177766,46.2,41.8,70346,2.48,32432,14942,36
35507,7.5,37.0,10058,2.5,10179,4874,4
87751,25.0,41.6,34945,2.46,21413,5087,19
135731,37.9,37.3,56031,2.31,30544,9337,29
3152434,744.1,34.7,1086865,2.75,507783,177231,483
271667,81.8,39.4,102016,2.48,55815,17566,51
425674,154.7,33.7,142104,2.86,80275,28534,65
863589,105.8,30.7,254610,3.15,194733,56073,146
45205,7.1,46.8,19505,2.28,10740,4528,7
2265252,310.2,33.7,686260,3.14,462155,159681,379
9919025,2426.9,34.8,3241204,2.98,1653819,639139,1921
18603,1.8,45.5,8049,2.25,3868,1289,4
950067,158.1,30.7,289391,3.15,211309,72485,162
2085785,103.7,31.7,611618,3.26,433475,142112,330
34088,183.0,38.9,11622,2.81,6307,1559,1
701447,2588.6,34.3,271809,2.5,145803,47080,1
700675,2034.6,35.4,260056,2.61,159967,47912,1
22600,105.6,40.6,8433,2.61,5107,2994,1
183646,427.8,34.5,60691,2.91,45831,17868,1
133127,298.6,36.5,45673,2.77,29353,9674,1
114116,223.5,29.9,39747,2.59,31501,12970,1
10820,24.0,33.2,3651,2.78,1697,346,2
22783,55.6,37.0,8262,2.73,5606,1747,2
38962,82.3,22.7,10611,3.44,6847,1808,6
23361,38.8,31.8,7540,2.95,4922,1068,5
15531,21.2,34.4,5531,2.79,3555,1128,4
195870,324.6,31.7,63604,2.92,49860,13988,27
9207,11.7,44.7,3837,2.4,2174,596,2
20395,26.7,35.3,7170,2.79,4809,1871,2
407073,383.9,34.8,148445,2.58,83078,25607,75
13034,19.5,31.5,4079,3.11,2850,657,2
3869,8.1,47.7,1657,2.26,805,360,1
16768,29.6,42.9,6495,2.55,4747,1458,4
38229,35.5,28.5,14708,2.32,6895,1586,10
144917,110.1,38.8,54200,2.53,30130,8865,25
6026,5.7,40.5,2281,2.61,1101,323,2
4348,3.6,38.9,1545,2.74,876,244,1
11568,9.1,42.7,4421,2.47,2486,787,2
27530,24.9,30.0,8146,3.2,5572,1912,2
39860,46.5,40.9,16241,2.36,9420,3096,7
10312,7.0,43.7,4034,2.5,2608,845,2
7895,5.5,33.2,2641,2.94,1805,701,1
23871,9.3,32.0,7666,2.96,5724,1746,6
79521,41.2,34.4,28760,2.65,19100,4885,18
84975,74.1,31.5,30682,2.64,18952,5583,12
6954,3.9,37.6,2606,2.64,1436,634,3
42076,21.9,45.7,17100,2.37,8540,3035,7
107493,56.6,31.8,36629,2.81,21595,6806,17
13495,7.1,33.6,4436,2.88,2695,1037,3
46694,22.0,31.8,14999,3.02,9313,3625,7
8900,3.6,48.7,3660,2.23,2266,850,2
12899,4.9,46.1,5605,2.25,3433,934,4
27209,8.8,30.0,10140,2.6,6629,2051,3
10232,2.7,46.6,4393,2.23,2319,535,3
21789,8.2,40.4,8823,2.39,2466,697,5
11508,1.5,35.9,4076,2.79,3174,1089,2
8154,1.8,49.7,3576,2.2,1483,650,2
16245,1.9,47.9,6834,2.3,4049,1291,3
917400,2726.5,38.0,337132,2.68,186941,60641,1
711221,1509.5,36.6,241712,2.82,129299,44288,5
147109,325.8,40.0,61303,2.34,36822,15388,1
5247811,5478.6,35.3,1966356,2.6,1103737,373516,9
76316,513.1,39.0,29479,2.48,19906,8220,1
911185,2260.9,34.0,366176,2.42,223767,81293,7
60013,141.8,38.5,21149,2.65,12566,4444,1
112411,299.0,37.8,44248,2.46,31995,10030,2
360259,545.8,35.3,137851,2.53,85622,27561,1
135005,216.6,29.4,52715,2.33,28749,6525,1
34419,44.8,32.8,11584,2.7,6799,1616,1
121983,474.8,35.6,43216,2.73,32948,9874,1
49729,284.9,35.7,17642,2.65,12717,4624,1
302940,1061.3,33.8,123043,2.3,64147,23796,5
744296,1864.6,37.7,309175,2.35,185967,70060,7
76426,254.5,38.0,27673,2.67,20605,10261,1
108280,217.8,39.8,44315,2.37,27471,9920,23
122949,129.3,42.7,51128,2.32,31673,9897,32
39593,52.4,44.0,16431,2.33,9508,3246,5
199260,196.2,42.9,81009,2.4,47927,15586,35
31277,17.9,43.3,13000,2.28,8031,2175,7
